date	funestus_sc_26_arabiensis_sc_102	funestus_sc_65_arabiensis_sc_117	funestus_sc_9_arabiensis_sc_87	observed
20120418	0.495934963226	0.455734401941	0.512512505054	NaN
20120419	0.506097555161	0.458752512932	0.51151150465	NaN
20120420	0.491869926453	0.456281393766	0.516516506672	NaN
20120421	0.495934963226	0.433165818453	0.523523509502	NaN
20120422	0.504065036774	0.444667994976	0.516516506672	NaN
20120423	0.487804889679	0.435613691807	0.519999980927	NaN
20120424	0.497456759214	0.450704216957	0.523999989033	NaN
20120425	0.490335702896	0.435613691807	0.512000024319	NaN
20120426	0.484231948852	0.445674031973	0.504999995232	NaN
20120427	0.490335702896	0.44969817996	0.509999990463	NaN
20120428	0.479145467281	0.447686105967	0.507000029087	NaN
20120429	0.478128165007	0.457746475935	0.510999977589	NaN
20120430	0.497456759214	0.452716290951	0.514999985695	NaN
20120501	0.476626008749	0.446231156588	0.522000014782	NaN
20120502	0.474593490362	0.452716290951	0.51748251915	NaN
20120503	0.478658527136	0.460764586925	0.540918171406	NaN
20120504	0.474593490362	0.457746475935	0.526946127415	NaN
20120505	0.485249251127	0.450704216957	0.538384854793	NaN
20120506	0.49643945694	0.458752512932	0.538384854793	NaN
20120507	0.480162769556	0.459758549929	0.543369889259	NaN
20120508	0.494404882193	0.455734401941	0.528414726257	NaN
20120509	0.483214646578	0.464788734913	0.525896430016	NaN
20120510	0.494404882193	0.459758549929	0.543283581734	NaN
20120511	0.486761718988	0.460764586925	0.537313461304	NaN
20120512	0.504073321819	0.467806845903	0.540298521519	NaN
20120513	0.490835040808	0.4688128829	0.536318421364	NaN
20120514	0.495926678181	0.469818919897	0.551243782043	NaN
20120515	0.49541285634	0.470824956894	0.546268641949	NaN
20120516	0.494393467903	0.470351755619	0.531343281269	NaN
20120517	0.489816695452	0.479396998882	0.545816719532	NaN
20120518	0.517802655697	0.488442212343	0.527888417244	NaN
20120519	0.490335702896	0.478391945362	0.528884470463	NaN
20120520	0.515768051148	0.481407046318	0.533864557743	NaN
20120521	0.481180071831	0.478391945362	0.532868504524	NaN
20120522	0.498474061489	0.48393574357	0.52689242363	NaN
20120523	0.477642267942	0.487951815128	0.509960174561	NaN
20120524	0.49390244484	0.46887549758	0.516450643539	NaN
20120525	0.480691045523	0.448795169592	0.514456629753	NaN
20120526	0.480691045523	0.460843384266	0.495513468981	NaN
20120527	0.476626008749	0.48393574357	0.509471595287	NaN
20120528	0.487804889679	0.440763056278	0.510468602181	NaN
20120529	0.465447157621	0.451807230711	0.506480574608	NaN
20120530	0.479674786329	0.438755005598	0.506480574608	NaN
20120531	0.461382120848	0.438755005598	0.484063744545	NaN
20120601	0.473096460104	0.431155771017	0.487051784992	NaN
20120602	0.455284565687	0.436619728804	0.483067721128	NaN
20120603	0.463414639234	0.438631802797	0.481555342674	NaN
20120604	0.462398380041	0.440643876791	0.471115529537	NaN
20120605	0.478658527136	0.434038281441	0.490039855242	0.522222222
20120606	0.450761407614	0.442094653845	0.465139448643	NaN
20120607	0.464974611998	0.424974828958	0.458167344332	NaN
20120608	0.443654835224	0.424974828958	0.481075704098	NaN
20120609	0.454822331667	0.428427428007	0.469123512506	NaN
20120610	0.243654817343	0.220766127109	0.247011959553	NaN
20120611	0.264974623919	0.220766127109	0.263944208622	NaN
20120612	0.245685279369	0.225806444883	0.253984063864	NaN
20120613	0.265989840031	0.226814523339	0.270916342735	NaN
20120614	0.273096442223	0.239919349551	0.260956168175	NaN
20120615	0.26192894578	0.229838714004	0.283150553703	NaN
20120616	0.251776635647	0.233870968223	0.266467064619	NaN
20120617	0.26192894578	0.246975809336	0.280159533024	NaN
20120618	0.254822343588	0.255040317774	0.253493010998	NaN
20120619	0.256852805615	0.25	0.271457076073	NaN
20120620	0.249746188521	0.246975809336	0.25449103117	NaN
20120621	0.240609139204	0.243951618671	0.265734255314	NaN
20120622	0.244670048356	0.239919349551	0.258741259575	NaN
20120623	0.239593908191	0.215725809336	0.263736277819	NaN
