date	funestus_sc_1.75_arabiensis_sc_2	funestus_sc_0.1_arabiensis_sc_1.75	funestus_sc_1.75_arabiensis_sc_2	observed
20121230	0.00873786397278	0.010752688162	0.00873786397278	NaN
20121231	0.0097087379545	0.009765625	0.0097087379545	NaN
20130101	0.00776699045673	0.009765625	0.00776699045673	NaN
20130102	0.00873786397278	0.0107421875	0.00873786397278	NaN
20130103	0.00872938893735	0.00975609757006	0.00872938893735	NaN
20130104	0.00872938893735	0.00975609757006	0.00872938893735	NaN
20130105	0.00872093066573	0.00975609757006	0.00872093066573	NaN
20130106	0.00872093066573	0.00975609757006	0.00872093066573	NaN
20130107	0.00872093066573	0.00975609757006	0.00872093066573	NaN
20130108	0.00871248822659	0.00975609757006	0.00871248822659	NaN
20130109	0.00774443382397	0.00780487805605	0.00774443382397	NaN
20130110	0.00871248822659	0.00878048781306	0.00871248822659	NaN
20130111	0.00774443382397	0.00780487805605	0.00774443382397	NaN
20130112	0.00871248822659	0.00878048781306	0.00871248822659	NaN
20130113	0.0058083254844	0.00682926829904	0.0058083254844	NaN
20130114	0.00678294571117	0.00878048781306	0.00678294571117	NaN
20130115	0.00581395346671	0.00585365854204	0.00581395346671	NaN
20130116	0.00872093066573	0.00878048781306	0.00872093066573	NaN
20130117	0.00581395346671	0.00682926829904	0.00581395346671	NaN
20130118	0.00678294571117	0.00780487805605	0.00678294571117	NaN
20130119	0.00678294571117	0.00780487805605	0.00678294571117	NaN
20130120	0.0058195926249	0.00878048781306	0.0058195926249	NaN
20130121	0.0058195926249	0.00878048781306	0.0058195926249	NaN
20130122	0.00678952457383	0.00780487805605	0.00678952457383	NaN
20130123	0.0058195926249	0.00780487805605	0.0058195926249	NaN
20130124	0.00678952457383	0.00877192988992	0.00678952457383	NaN
20130125	0.00387972849421	0.00778967887163	0.00387972849421	NaN
20130126	0.0058195926249	0.00876338873059	0.0058195926249	NaN
20130127	0.00484966067597	0.00584795325994	0.00484966067597	NaN
20130128	0.00484966067597	0.00877192988992	0.00484966067597	NaN
20130129	0.00290979631245	0.00584795325994	0.00290979631245	NaN
20130130	0.00484496122226	0.00974658876658	0.00484496122226	NaN
20130131	0.00484496122226	0.00584795325994	0.00484496122226	NaN
20130201	0.0058195926249	0.00877192988992	0.0058195926249	NaN
20130202	0.00484966067597	0.0068226121366	0.00484966067597	NaN
20130203	0.00581395346671	0.00681596901268	0.00581395346671	NaN
20130204	0.00387596897781	0.00681596901268	0.00387596897781	NaN
20130205	0.00484496122226	0.00876338873059	0.00484496122226	NaN
20130206	0.00290697673336	0.00680933846161	0.00290697673336	NaN
20130207	0.00387596897781	0.00679611647502	0.00387596897781	NaN
20130208	0.00290697673336	0.00679611647502	0.00290697673336	NaN
20130209	0.00484496122226	0.0058252424933	0.00484496122226	NaN
20130210	0.00290979631245	0.0058252424933	0.00290979631245	NaN
20130211	0.00484966067597	0.00583657575771	0.00484966067597	NaN
20130212	0.00290697673336	0.00389105058275	0.00290697673336	NaN
20130213	0.00581395346671	0.00486381305382	0.00581395346671	NaN
20130214	0.00484496122226	0.00291828787886	0.00484496122226	NaN
20130215	0.00581395346671	0.00486381305382	0.00581395346671	NaN
20130216	0.00290697673336	0.00291828787886	0.00290697673336	NaN
20130217	0.00290697673336	0.0077821011655	0.00290697673336	NaN
20130218	0.000969932123553	0.00486381305382	0.000969932123553	NaN
20130219	0.0058195926249	0.00583657575771	0.0058195926249	NaN
20130220	0.00290979631245	0.00583657575771	0.00290979631245	NaN
20130221	0.0058252424933	0.0077821011655	0.0058252424933	NaN
20130222	0.00194174761418	0.00583090400323	0.00194174761418	NaN
20130223	0.00388726918027	0.00777453836054	0.00388726918027	NaN
20130224	0.00485908659175	0.00485908659175	0.00485908659175	NaN
20130225	0.00194174761418	0.0097181731835	0.00194174761418	NaN
20130226	0.00194174761418	0.00680272094905	0.00194174761418	NaN
20130227	0.00388349522836	0.00777453836054	0.00388349522836	NaN
20130228	0.00193986424711	0.00388726918027	0.00193986424711	NaN
20130301	0.00484966067597	0.00777453836054	0.00484966067597	NaN
20130302	0.000969932123553	0.00486381305382	0.000969932123553	NaN
20130303	0.00290979631245	0.0077821011655	0.00290979631245	NaN
20130304	0.00290979631245	0.0077821011655	0.00290979631245	NaN
20130305	0.00387972849421	0.00875486340374	0.00387972849421	NaN
20130306	0.00193986424711	0.00486381305382	0.00193986424711	NaN
20130307	0.00387972849421	0.00972762610763	0.00387972849421	NaN
20130308	0.0029041627422	0.00583090400323	0.0029041627422	NaN
20130309	0.00290135387331	0.00777453836054	0.00290135387331	NaN
20130310	0.00193423603196	0.00680272094905	0.00193423603196	NaN
20130311	0.00386847206391	0.00874635577202	0.00386847206391	NaN
20130312	0.00387221691199	0.00388726918027	0.00387221691199	NaN
20130313	0.00484496122226	0.00583090400323	0.00484496122226	NaN
20130314	0.0019379844889	0.00680272094905	0.0019379844889	NaN
20130315	0.00484496122226	0.00485908659175	0.00484496122226	NaN
20130316	0.00387596897781	0.00388726918027	0.00387596897781	NaN
20130317	0.00387596897781	0.00680272094905	0.00387596897781	NaN
20130318	0.00387596897781	0.00388726918027	0.00387596897781	NaN
20130319	0.00387596897781	0.00485908659175	0.00387596897781	NaN
20130320	0.0019379844889	0.00194174761418	0.0019379844889	NaN
20130321	0.00387596897781	0.0058252424933	0.00387596897781	NaN
20130322	0.00290697673336	0.00194363459013	0.00290697673336	NaN
20130323	0.00387596897781	0.00291262124665	0.00387596897781	NaN
20130324	0.00387596897781	0.00290979631245	0.00387596897781	NaN
20130325	0.00387596897781	0.00387972849421	0.00387596897781	NaN
20130326	0.00193610845599	0.00387972849421	0.00193610845599	NaN
20130327	0.00387596897781	0.00484496122226	0.00387596897781	NaN
20130328	0.0019379844889	0.00387596897781	0.0019379844889	NaN
20130329	0.00387596897781	0.00484966067597	0.00387596897781	NaN
20130330	0.00387596897781	0.00387972849421	0.00387596897781	NaN
20130331	0.00484496122226	0.00484966067597	0.00484496122226	NaN
20130401	0.0019379844889	0.00388349522836	0.0019379844889	NaN
20130402	0.00387596897781	0.00485436897725	0.00387596897781	NaN
20130403	0.00290697673336	0.00291262124665	0.00290697673336	NaN
20130404	0.00387596897781	0.00679611647502	0.00387596897781	NaN
