date	funestus_sc_1.5_arabiensis_sc_5.5	funestus_sc_1_arabiensis_sc_18	funestus_sc_4_arabiensis_sc_57	observed
20120404	0.169184297323	0.122669287026	0.459016382694	NaN
20120405	0.173212483525	0.130520120263	0.470286875963	NaN
20120406	0.167170196772	0.123650640249	0.473360657692	NaN
20120407	0.163141995668	0.14131501317	0.469262301922	NaN
20120408	0.157099694014	0.136408239603	0.468237698078	NaN
20120409	0.159113794565	0.145098045468	0.468237698078	NaN
20120410	0.162134945393	0.140196084976	0.468237698078	NaN
20120411	0.157099694014	0.143137261272	0.485655725002	NaN
20120412	0.154078543186	0.142156869173	0.486153841019	NaN
20120413	0.163141995668	0.136274516583	0.475359350443	NaN
20120414	0.162134945393	0.141176477075	0.477412730455	NaN
20120415	0.171026155353	0.132352948189	0.482546210289	NaN
20120416	0.17505030334	0.141176477075	0.463039010763	NaN
20120417	0.182914569974	0.145098045468	0.46714580059	NaN
20120418	0.183919593692	0.14411765337	0.465092390776	NaN
20120419	0.18492461741	0.149019613862	0.480986624956	NaN
20120420	0.190954774618	0.143137261272	0.483042150736	NaN
20120421	0.18775101006	0.147058829665	0.473792403936	NaN
20120422	0.189759030938	0.141176477075	0.482014387846	NaN
20120423	0.173694774508	0.149019613862	0.473792403936	NaN
20120424	0.176706820726	0.146078437567	0.469681411982	NaN
20120425	0.17269076407	0.149019613862	0.45679011941	NaN
20120426	0.170682728291	0.14411765337	0.471193403006	NaN
20120427	0.161809042096	0.150980398059	0.460905343294	NaN
20120428	0.158793970943	0.146078437567	0.447530865669	NaN
20120429	0.168844223022	0.151960790157	0.445473253727	NaN
20120430	0.16482411325	0.140196084976	0.436213999987	NaN
20120501	0.170854270458	0.152941182256	0.432098776102	NaN
20120502	0.177710846067	0.158979386091	0.431069970131	NaN
20120503	0.163654625416	0.162904813886	0.442386835814	NaN
20120504	0.164658635855	0.160942107439	0.438271611929	NaN
20120505	0.170682728291	0.169774293899	0.435185194015	NaN
20120506	0.166666671634	0.157843142748	0.437242805958	NaN
20120507	0.17269076407	0.167647063732	0.454732507467	NaN
20120508	0.160804018378	0.166830226779	0.449588477612	NaN
20120509	0.171686753631	0.158979386091	0.441812574863	NaN
20120510	0.162650600076	0.159960746765	0.447422683239	NaN
20120511	0.181726902723	0.157016679645	0.452577322721	NaN
20120512	0.182730928063	0.156035333872	0.463917523622	NaN
20120513	0.180722892284	0.159960746765	0.456701040268	NaN
20120514	0.179718881846	0.163886159658	0.447422683239	NaN
20120515	0.184738948941	0.156035333872	0.457731962204	NaN
20120516	0.181726902723	0.163725495338	0.46185567975	NaN
20120517	0.177710846067	0.155882358551	0.45876288414	NaN
20120518	0.17269076407	0.160784319043	0.479876160622	NaN
20120519	0.170682728291	0.163725495338	0.477319598198	NaN
20120520	0.170682728291	0.159803926945	0.474716216326	NaN
20120521	0.176706820726	0.158979386091	0.464396297932	NaN
20120522	0.176706820726	0.159960746765	0.471134006977	NaN
20120523	0.174698799849	0.162904813886	0.474226802587	NaN
20120524	0.167502507567	0.158979386091	0.483505159616	NaN
